"image","xmin","ymin","xmax","ymax","label"
"Drone_001.mp4#t=9.666667",211.71605789110959,1628.1893382352941,703.9558924879393,2160,"people"
"Drone_001.mp4#t=9.6",63.51481736733289,1593.7775735294117,613.9765678842178,2160,"people"
"Drone_001.mp4#t=9.533333",0,1556.71875,484.3004824259132,2160,"people"
"Drone_001.mp4#t=9.466667",0,1551.1764705882354,375.79600275671953,2160,"people"
"Drone_001.mp4#t=9.4",0,1546.130514705882,267.2915230875259,2159.9999999999995,"people"
"Drone_001.mp4#t=9.333333",0,1537.9411764705883,187.89800137835977,2160,"people"
"Drone_001.mp4#t=9.266667",0,1585.8363970588234,105.85802894555479,2160,"people"
"Drone_001.mp4#t=9.733333",381.0889042039973,1670.5422794117646,820.3997243280496,2160,"people"
"Drone_001.mp4#t=9.8",545.1688490696072,1717.9411764705883,939.4900068917988,2159.9999999999995,"people"
"Drone_001.mp4#t=9.866667",696.0165403170228,1739.3658088235293,1074.458993797381,2152.3069852941176,"people"
"Drone_001.mp4#t=9.933333",817.7532736044108,1757.6470588235293,1172.3776705720193,2160,"people"
"Drone_001.mp4#t=10",918.3184011026879,1757.8952205882351,1267.6498966230188,2160,"people"
"Drone_001.mp4#t=10.066667",1005.6512749827706,1755.2481617647059,1362.922122674018,2160,"people"
"Drone_001.mp4#t=10.133333",1095.630599586492,1755.2481617647059,1455.5478980013784,2160,"people"
"Drone_001.mp4#t=10.2",1204.1350792556857,1781.71875,1556.1130254996554,2160,"people"
"Drone_001.mp4#t=10.266667",1299.4073053066852,1781.71875,1643.4458993797384,2160,"people"
"Drone_001.mp4#t=10.333333",1415.8511371467955,1816.1305147058822,1746.6574776016541,2160,"people"
"Drone_001.mp4#t=10.4",1527.002067539628,1821.4246323529412,1841.9297036526534,2160,"people"
"Drone_001.mp4#t=10.466667",1622.2742935906272,1792.3069852941176,2072.170916609235,2160,"people"
"Drone_001.mp4#t=10.533333",1717.5465196416267,1792.3069852941176,2138.332184700207,2160,"people"
"Drone_001.mp4#t=10.6",1802.2329427980703,1776.4246323529412,2215.079255685734,2160,"people"
"Drone_001.mp4#t=10.666667",1886.9193659545142,1779.0716911764705,2302.412129565817,2160,"people"
"Drone_001.mp4#t=10.733333",1979.545141281875,1784.1176470588234,2387.098552722261,2160,"people"
"Drone_001.mp4#t=10.8",2074.817367332874,1792.3069852941176,2471.7849758787042,2160,"people"
"Drone_001.mp4#t=10.866667",2207.1399035148174,1800.2481617647059,2585.582356995176,2160,"people"
"Drone_001.mp4#t=10.933333",2294.4727773949003,1797.6011029411764,2688.793935217092,2160,"people"
"Drone_001.mp4#t=11",2392.3914541695385,1773.7775735294117,2802.5913163335636,2160,"people"
"Drone_001.mp4#t=11.066667",2466.4920744314268,1755.2481617647059,2905.8028945554793,2160,"people"
"Drone_001.mp4#t=11.133333",2553.8249483115096,1744.6599264705883,3006.3680220537562,2160,"people"
"Drone_001.mp4#t=11.2",2635.8649207443145,1763.1893382352941,3096.347346657478,2160,"people"
"Drone_001.mp4#t=11.266667",2731.1371467953136,1763.1893382352941,3194.2660234321156,2160,"people"
"Drone_001.mp4#t=11.333333",2826.409372846313,1784.3658088235293,3294.831150930393,2160,"people"
"Drone_001.mp4#t=11.4",2940.2067539627847,1794.954044117647,3374.2246726395592,2160,"people"
"Drone_001.mp4#t=11.466667",3040.7718814610616,1789.6599264705883,3472.1433494141975,2160,"people"
"Drone_001.mp4#t=11.533333",3106.9331495520332,1757.8952205882351,3567.4155754651965,2160,"people"
"Drone_001.mp4#t=11.6",3191.619572708477,1768.483455882353,3641.516195727085,2160,"people"
"Drone_001.mp4#t=11.666667",3278.9524465885597,1757.8952205882351,3718.263266712612,2160,"people"
"Drone_001.mp4#t=11.733333",3360.9924190213646,1765.8363970588234,3800.303239145417,2160,"people"
"Drone_001.mp4#t=11.8",3461.5575465196416,1763.1893382352941,3840,2160,"people"
"Drone_001.mp4#t=11.866667",3556.829772570641,1797.6011029411764,3840,2160,"people"
"Drone_001.mp4#t=11.933333",3662.687801516196,1810.8363970588234,3840.0000000000005,2160,"people"
"Drone_001.mp4#t=12",3744.727773949001,1818.7775735294117,3840.0000000000005,2160,"people"
"Drone_001.mp4#t=30.466667",592.8049620951068,1935.2481617647059,860.0964851826327,2160,"people"
"Drone_001.mp4#t=30.466667",3522.4259131633357,556.1305147058823,3649.4555478980014,831.4246323529412,"people"
"Drone_001.mp4#t=30.4",518.7043418332185,1980.2481617647059,785.9958649207443,2160,"people"
"Drone_001.mp4#t=30.4",3543.597518952447,577.3069852941177,3686.505858028946,860.5422794117648,"people"
"Drone_001.mp4#t=30.333333",471.06822880771887,2025.2481617647059,651.0268780151621,2160,"people"
"Drone_001.mp4#t=30.333333",3575.354927636113,579.9540441176471,3726.202618883529,873.7775735294117,"people"
"Drone_001.mp4#t=30.266667",407.55341144038596,2072.895220588235,574.2798070296348,2160,"people"
"Drone_001.mp4#t=30.266667",3612.4052377670573,585.2481617647057,3768.5458304617505,879.0716911764705,"people"
"Drone_001.mp4#t=30.2",314.9276361130255,2080.8363970588234,489.59338387319093,2160,"people"
"Drone_001.mp4#t=30.2",3660.0413507925573,593.1893382352941,3797.6567884217793,884.3658088235295,"people"
"Drone_001.mp4#t=30.133333",222.30186078566507,2088.7775735294117,394.3211578221916,2160,"people"
"Drone_001.mp4#t=30.133333",3699.73811164714,587.8952205882352,3834.7070985527225,884.3658088235293,"people"
"Drone_001.mp4#t=30.066667",113.7973811164714,2086.1305147058824,285.81667815299795,2160,"people"
"Drone_001.mp4#t=30.066667",3736.7884217780843,577.3069852941177,3840,902.8952205882354,"people"
"Drone_001.mp4#t=30",3768.545830461751,614.3658088235294,3840.0000000000005,908.1893382352941,"people"
"Drone_001.mp4#t=30",84.68642315644384,2123.189338235294,166.7263955892488,2160,"people"
"Drone_001.mp4#t=29.933333",3792.3638869745005,720.2481617647059,3840,908.1893382352941,"people"
"Drone_001.mp4#t=30.533333",664.2591316333563,1922.0128676470588,923.6113025499656,2160,"people"
"Drone_001.mp4#t=30.533333",3474.789800137836,547.9411764705882,3617.6981392143352,828.7775735294114,"people"
"Drone_001.mp4#t=30.6",756.8849069607168,1914.0716911764705,1013.5906271536871,2160,"people"
"Drone_001.mp4#t=30.6",3440.385940730531,542.8952205882352,3578.001378359752,826.1305147058824,"people"
"Drone_001.mp4#t=30.666667",841.5713301171606,1869.0716911764705,1066.5196416264646,2160,"people"
"Drone_001.mp4#t=30.666667",3395.39627842867,542.8952205882352,3540.951068228808,823.4834558823529,"people"
"Drone_001.mp4#t=30.733333",881.2680909717437,1834.6599264705883,1122.095106822881,2160,"people"
"Drone_001.mp4#t=30.733333",3342.4672639558926,532.3069852941177,3503.9007580978637,818.1893382352941,"people"
"Drone_001.mp4#t=30.8",939.4900068917988,1787.0128676470588,1175.0241212956582,2160,"people"
